Title,Published,Views,Likes,Dislikes,Comments
Kumare,2012,468710,1709,102,309
Hick,2012,304820,1642,84,135
Mamitas,2012,100239,634,18,118
Extremely Loud & Incredibly Close,2011,167666,511,21,146
FDR American Badass,2012,250710,2251,108,351
Last Days Here,2012,167705,617,25,69
Looper,2012,129842,846,12,126
Trashed,2012,132042,762,21,66
Girl In Progress,2012,184119,579,22,39
I Know That Voice,2012,55369,616,8,77
Men In Black 3,2011,798408,1974,44,372
ParaNorman,2012,3152643,6578,468,1040
The Hidden Face,2012,920715,1613,105,170
Let The Bullets Fly,2012,322726,746,36,149
Hotel Transylvania,2012,446746,850,49,45
Savages,2012,804456,1612,105,129
"Jeff, Who Lives At Home",2012,830448,1504,111,354
Project X,2012,2469755,6006,393,418
The Cabin In the Woods,2011,1361901,3304,240,1424
Chimpanzee,2012,178720,442,17,50
To the Arctic,2012,376053,1021,42,173
The Bourne Legacy,2012,3997809,7089,515,3337
Alien,2012,438893,2057,44,274
Oslo August 31st,2012,143483,459,22,42
Indie Game: The,2012,254601,2025,83,351
Killer Joe,2012,199632,511,25,72
Rise of the Guardians,2012,368639,1436,57,533
West of Memphis,2012,202445,542,27,139
Warriors Of The Rainbow: Seediq Bale,2012,213936,490,24,129
The Imposter,2012,449571,561,25,76
Madagascar 3,2011,1373491,3351,252,431
Goon,2011,200384,535,37,85
James Bond,2012,33739,254,4,40
Hope Springs,2012,173154,352,22,52
Abraham Lincoln Vampire Hunter,2012,2313252,5247,446,2992
Sound of my Voice,2012,491091,988,78,136
Gerhard Richter Painting,2012,72534,255,12,7
5 Broken Cameras,2012,197916,975,64,231
Ruby Sparks,2012,97781,449,20,61
Get the Gringo,2012,1531716,2312,195,707
Snow White & the Huntsman,2012,324270,1552,39,496
One Day on Earth,2012,76537,532,10,35
The Hunger Games,2012,601302,1138,31,341
Apart,2012,48582,257,10,36
For Greater Glory,2012,288640,1153,85,486
The Amazing Spider-Man,2012,526457,2004,128,802
The Watch,2012,178616,677,27,111
The Snowtown Murders,2012,101209,292,20,62
The Woman in Black,2012,103026,286,18,99
High Road,2012,265844,548,31,83
Amour ,2012,607421,825,78,316
In Darkness,2011,234627,496,35,144
Life Happens,2012,807977,1722,159,107
A Separation,2011,160891,414,27,96
A Bag of Hammers,2012,100024,647,30,87
Wrath of the Titans,2012,1487228,2883,140,1179
G.I. Joe 2: Retaliation,2012,400129,885,48,60
This Is 40,2012,1922182,2189,269,672
As One,2012,441721,791,68,124
A Cat in Paris,2012,86168,501,31,67
Last Call at the Oasis,2012,82479,408,16,56
The Apparition,2012,326820,1060,63,304
Samsara,2012,689760,2118,90,74
Soegija,2012,47747,387,25,174
Neil Young Journeys,2012,72060,202,9,15
The Campaign  Election Promos,2012,197950,492,22,76
Neighborhood Watch,2012,224291,868,40,168
The Forgiveness of Blood,2012,94371,298,19,80
Abraham Lincoln Vampire Hunter,2012,202535,565,31,163
The Dictator,2012,63558,533,19,75
Citizen Gangster,2012,401456,535,41,76
That's My Boy,2012,274826,880,88,49
The Innkeepers,2012,139305,392,32,63
Casa de Mi Padre,2012,158330,365,35,46
Ice Age Continental Drift,2012,606028,1595,137,197
Anchorman: The Legend Continues Alternate Teaser  Will Ferrell,2012,51018,262,7,38
The Invisible War,2011,584477,1315,128,803
Battleship,2012,501823,1087,92,540
Chimpanzee,2012,45252,166,6,36
Intruders,2012,4193565,6078,573,1119
